locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,latitude,longitude,hours_of_operation,co_brand
https://www.rmcf.com/NC/Asheville60008,"Asheville, NC (Cold Stone / RMCF)","30 Town Square Blvd, Ste 150",Asheville,NC,28803,US,60008,8286503013,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/OR/Ashland50424,"Ashland, OR",33 E. Main St.,Ashland,OR,97520,US,50424,5414826757,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/MI/AuburnHills50403,"Auburn Hills, MI","4350 Baldwin Road, Suite 712",Auburn Hills,MI,48326,US,50403,2483329772,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/IL/Aurora50624,"Aurora, IL","1650 Premium Outlets Blvd., Sp. 1279",Aurora,IL,60502,US,50624,6302369700,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/CO/Aurora50681,"Aurora, CO (Southlands)","6240 S. Main St., Ste 102",Aurora,CO,80016,US,50681,3036801969,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/CO/Aurora50683,"Aurora, CO (Aurora Mall)","14200 E. Alameda, Space VC-09",Aurora,CO,80012,US,50683,3033411943,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/MI/BirchRun50574,"Birch Run, MI","8825 Market Place Drive, Suite 425",Birch Run,MI,48415,US,50574,9896244784,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/MN/Bloomington50139,"Bloomington, MN",128 E Broadway,Bloomington,MN,55425,US,50139,9524442852,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/ID/Boise70019,"Boise, ID (Aspen Leaf / RMCF)",127 So Broadway Avenue,Boise,ID,83702,US,70019,2083433648,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Aspen Leaf
https://www.rmcf.com/LA/BossierCity50892,"Bossier City, LA",711 Horseshoe Boulevard,Bossier City,LA,71111,US,50892,3187414304,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/CO/Boulder50490,"Boulder, CO",1300 Pearl Street,Boulder,CO,80302,US,50490,3034448455,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/UT/Bountiful60080,"Bountiful, UT (Cold Stone / RMCF)","273 W. 500 South, Suite 2",Bountiful,UT,84010,US,60080,8012942750,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/MO/Branson50674,"Branson, MO",403 Branson Landing Blvd.,Branson,MO,65616,US,50674,4173377623,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/CA/Brea50718,"Brea, CA",1044A Brea Mall,Brea,CA,92821,US,50718,7142561835,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/CO/Breckenridge50188,"Breckenridge,CO",226 Main St. G4. Reliance Pl.,Breckenridge,CO,80424,US,50188,9704532094,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/CA/Brentwood50747,"Brentwood, CA","2485 Sand Creek Road, Ste 136",Brentwood,CA,94513,US,50747,9255133384,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/CO/Broomfield50530,"Broomfield, CO","1 W. Flatiron Circle, #1074",Broomfield,CO,80021,US,50530,3036351037,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/WA/Burlington50228,"Burlington, WA",444 Fashion Way,Burlington,WA,98233,US,50228,3607572577,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/MD/California60122,"California, MD (Cold Stone / RMCF)","44980 St. Andrews Church Road, Unit D",California,MD,20619,US,60122,2402378296,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/CA/Camarillo50341,"Camarillo, CA","740 Ventura Blvd., Ste. 400",Camarillo,CA,93010,US,50341,8054451150,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/TX/Canutillo50752,"Canutillo, TX",7051 S Desert Blvd E-505,Canutillo,TX,79902,US,50752,9158773435,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/IN/Carmel60093,"Carmel, IN","14550 Clay Terrace Blvd., Suite 105",Carmel,IN,46032,US,60093,3175697170,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/NC/Cary50959,"Cary, NC","302 Colonades Way, Suite #203",Cary,NC,27518,US,50959,9842328325,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/WY/Casper60061,"Casper, WY (Cold Stone / RMCF)","939 East 2nd Street, # 700",Casper,WY,82601,US,60061,3072373960,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/CO/CastleRock50554,"Castle Rock, CO",5050 Factory Shops Blvd. #820,Castle Rock,CO,80108,US,50554,3039558160,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/NC/Charlotte50682,"Charlotte, NC","6801 Northlake Mall Drive, Ste 185",Charlotte,NC,28216,US,50682,7045994553,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/NC/Charlotte50714,"Charlotte (airport), NC",5501 Josh Birmingham Parkway,Charlotte,NC,28208,US,50714,7043594367,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/TN/Chattanooga60112,"Chattanooga, TN (Cold Stone/RMCF)","100 Chestmut Streeet, Suite A",Chattanooga,TN,37402,US,60112,4232670888,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/IL/Chicago50790,"Chicago, IL","Terminal 1, Gate B-14",Chicago,IL,60666,US,50790,7738943480,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/IL/Chicago50791,"Chicago, IL","Terminal 3, Upper Level, Space #T3H.U.33.B, Gate H-5",Chicago,IL,60666,US,50791,7736865858,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/CA/ChulaVista50711,"Chula Vista, CA",2015 Birch Rd. #909,Chula Vista,CA,91915,US,50711,6192166360,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/CA/CitrusHeights60056,"Citrus Heights, CA (Cold Stone / RMCF)",6105 Sunrise Boulevard,Citrus Heights,CA,95610,US,60056,9165369555,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/UT/Clinton50104,"Clinton, UT (Cold Stone / RMCF)",1917 W 1800 N Suite A5,Clinton,UT,84015,US,50104,8014440701,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/MI/ClintonTownship50858,"Clinton Township, MI","17420 Hall Road, Space 1108",Clinton Township,MI,48038,US,50858,5868681108,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/FL/CoconutCreek60009,"Coconut Creek, FL (Cold Stone / RMCF)","4425 Lyons Road, Ste F-105 Promenade at Coconut Creek",Coconut Creek,FL,33073,US,60009,9549779555,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/CO/ColoradoSprings50553,"Colorado Springs, CO (Citadel)","750 Citadel Drive E., Space #1016",Colorado Springs,CO,80909,US,50553,7195912254,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/CO/ColoradoSprings50602,"Colorado Springs, CO (Briargate)","1605 Briargate Pkwy, Suite 111",Colorado Springs,CO,80920,US,50602,7195930089,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/CO/ColoradoSprings50572,"Colorado Springs, CO (Chapel Hills)","1710 Briargate Blvd., Space 185",Colorado Springs,CO,80920,US,50572,7195907623,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/CO/ColoradoSprings50552,"Colorado Springs, CO (Old Town)",2431 W. Colorado Ave.,Colorado Springs,CO,80904,US,50552,7196354131,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/MD/Columbia60105,"Columbia, MD",10101 Twin Rivers Road,Columbia,MD,21044,US,60105,4435455041,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/OH/Columbus50528,"Columbus, OH","1500 Polaris Pkwy, Suite 2022",Columbus,OH,43240,US,50528,6148850577,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/CA/Commerce50673,"Commerce, CA","100 Citadel Drive, Suite 442",Commerce,CA,90040,US,50673,3238879703,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/NC/Concord50516,"Concord, NC","8111 Concord Mills Blvd., Suite 424",Concord,NC,28027,US,50516,7049791044,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/CA/Concord50741,"Concord,CA","278 Sun Valley Mall, Space D-135",Concord,CA,94520,US,50741,9258253030,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/CA/Corona50716,"Corona, CA",2785 Cabot Dr. #105,Corona,CA,92883,US,50716,9512777555,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/CO/Cortez60007,"Cortez, CO (Cold Stone / RMCF)",215 S. Sligo #5,Cortez,CO,81321,US,60007,9705652725,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/CO/CrestedButte50300,"Crested Butte, CO",P.O. Box 2941 314 Elk Ave.,Crested Butte,CO,81224,US,50300,9703490933,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/MO/CreveCoeur60106,"Creve Coeur, MO Cold Stone",12416 Olive Boulevard,Creve Coeur,MO,63141,US,60106,3145763945,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/IN/CrownPoint60052,"Crown Point, IN (Cold Stone / RMCF)",11 West 112th Avenue,Crown Point,IN,46307,US,60052,2196639010,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/WI/Delafield50820,"Delafield, WI",807 Genesee Street,Delafield,WI,53018,US,50820,2626467778,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/CO/Denver50153,"Denver (DIA), CO ",8900 Pena Blvd. Concourse B-52,Denver,CO,80249,US,50153,3033426825,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/CO/Denver60085,"Denver, CO (Cold Stone / RMCF)","6300 Hampden Avenue, Building 1, Suite E",Denver,CO,80222,US,60085,3037595454,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/CO/Denver50771,"Denver, CO (Pavilions)","500 16th Street, Ste 118",Denver,CO,80202,US,50771,3036295500,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/CO/Denver50122,"Denver, CO (Writer Square)","1512 Larimer St., Space #44-R",Denver,CO,80202,US,50122,3036231887,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/MI/Detroit60101,"Detroit (Greektown), MI",510 Monroe Street,Detroit,MI,48226,US,60101,3139642715,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/KS/DodgeCity60077,"Dodge City, KS (Cold Stone / RMCF)",2019 Central Avenue,Dodge City,KS,67801,US,60077,6203717223,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/UT/Draper70039,"Draper, UT",241 East 12300 South,Draper,UT,84020,US,70039,8014954123,<MISSING>,<MISSING>,<MISSING>,<MISSING>,U-Swirl
https://www.rmcf.com/OH/Dublin60071,"Dublin, OH (Cold Stone / RMCF)",7038 Hospital Drive,Dublin,OH,43016,US,60071,6147180333,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/CA/Dublin60004,"Dublin, CA (Cold Stone / RMCF)","4920 Dublin Blvd., Suite 340",Dublin,CA,94568,US,60004,9258751333,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/MN/Duluth50533,"Duluth, MN","395 S. Lake Ave., Suite 4",Duluth,MN,55802,US,50533,2187221700,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/MN/Duluth50650,"Duluth, MN (Miller Hill)",1600 Miller Trunk Highway Space K-109,Duluth,MN,55811,US,50650,2187220912,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/CO/Durango00001,"Durango, CO",561 Main Ave.,Durango,CO,81301,US,00001,9702591408,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/IL/Edwardsville60035,"Edwardsville, IL (Cold Stone / RMCF)","2100 Troy Road, Suite 101",Edwardsville,IL,62025,US,60035,6186551480,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/CA/ElCentro60016,"El Centro, CA (Cold Stone / RMCF)",2049 N. Imperial Ave. Suite A,El Centro,CA,92243,US,60016,7603533633,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/TX/ElPaso50904,"El Paso Fountains at Farah, TX",8889 Gateway Blvd. West Suite #1302,El Paso,TX,79925,US,50904,9152395009,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/PA/Erie50955,"Erie, PA",5800 Peach Street #275,Erie,PA,16565,US,50955,8148641160,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/CO/EstesPark50378,"Estes Park, CO","517 Big Thompson Ave., Box 3544",Estes Park,CO,80517,US,50378,9705866601,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/OR/Eugene50724,"Eugene, OR",261 Valley River Center,Eugene,OR,97401,US,50724,5413431260,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/IN/Evansville60067,"Evansville, IN (Cold Stone / RMCF)",6401 E. Lloyd Expressway,Evansville,IN,47715,US,60067,8124372653,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/OH/Fairlawn60099,"Fairlawn, OH (Cold Stone / RMCF)","3900 Medina Road, Suite G",Fairlawn,OH,44333,US,60099,3306654466,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/NM/Farmington50961,"Farmington, NM",4601 East Main Street Suite 690,Farmington,NM,87402,US,50961,5056753295,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/NJ/Flemington60089,"Flemington, NJ (Cold Stone / RMCF)",325 Route 202 South,Flemington,NJ,08822,US,60089,9087880770,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/CA/Folsom50437,"Folsom, CA","13000 Folsom Blvd., Suite 809",Folsom,CA,95630,US,50437,9169854832,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/CO/FortCollins50454,"Fort Collins, CO",Foothills Mall 215 East Foothills Blvd ,Fort Collins,CO,80525,US,50454,9702265550,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/KY/Frankfurt60094,"Frankfurt, KY (Cold Stone / RMCF)",671 E. Main Street,Frankfurt,KY,40601,US,60094,5023193726,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/CA/Fresno50695,"Fresno, CA ( Fashion Fair)","639 E. Shaw Avenue, Space 167",Fresno,CA,93710,US,50695,5592283150,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/TX/Frisco50569,"Frisco, TX","2809 Preston Road, Suite 1250",Frisco,TX,75034,US,50569,9723774050,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/MD/Gaithersburg60034,"Gaithersburg, MD (Cold Stone / RMCF)",84 Main Street,Gaithersburg,MD,20878,US,60034,3015900009,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/IL/Galena50127,"Galena, IL",207 South Main St.,Galena,IL,61036,US,50127,8157773200,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/TX/Galveston50248,"Galveston,TX","2217 Strand, Ste 103",Galveston,TX,77550,US,50248,4097624340,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/IL/Geneva50776,"Geneva, IL","1308 Commons Drive, Ste 5020",Geneva,IL,60134,US,50776,6302081484,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/AZ/Gilbert60116,"Gilbert, AZ (Cold Stone/RMCF)","1877 E. Williams Field Road, Suite 105",Gilbert,AZ,85295,US,60116,4803076990,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/MD/Glenarden60119,"Glenarden, MD (CSC)",Coming Soon!,Glenarden,MD,20721,US,60119,3013243888,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/AZ/Glendale60109,"Glendale, AZ (Cold  Stone/RMCF)","20022 N. 67th Avenue, Suite 102",Glendale,AZ,85308,US,60109,6235669400,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/AZ/Glendale50600,"Glendale, AZ",7700 W. Arrowhead Town Center #102,Glendale,AZ,85308,US,50600,6239790677,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/TX/Grapevine50307,"Grapevine, TX","3000 Grapevine Mills Pkwy, Ste. 258 ",Grapevine,TX,76051,US,50307,9727246868,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/NC/Greensboro60046,"Greensboro, NC (Cold Stone / RMCF)",1626 Highwoods Blvd,Greensboro,NC,27410,US,60046,3362920321,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/PA/GroveCity50458,"Grove City, PA","1911 Leesburg - Grove City Road, Suite 750",Grove City,PA,16127,US,50458,7247485116,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/NJ/Hackettstown60019,"Hackettstown, NJ (Cold Stone / RMCF)",1930 Route 57,Hackettstown,NJ,07840,US,60019,9088509901,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/CA/Hanford60081,"Hanford, CA (Cold Stone / RMCF)","186 N. 12th Avenue, Suite 111",Hanford,CA,93230,US,60081,5595839000,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/NV/Henderson50616,"Henderson, NV (Montelago Village)","20 Via Bel Canto, #100",Henderson,NV,89011,US,50616,7025471000,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/OR/Hillsboro60029,"Hillsboro, OR (Cold Stone / RMCF)",2227 NW 185th Avenue,Hillsboro,OR,97124,US,60029,5036458959,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/TX/Houston50944,"Houston, TX Wm. P. Hobby International Airport","Wm. P. Hobby Int. Airport, Central Terminal",Houston,TX,77061,US,50944,3466005163,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/TX/Houston50811,"Houston, TX George Bush Intercontinental Airport I ","3100 Terminal Rd, Terminal C",Houston,TX,77032,US,50811,8328516979,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/TX/Houston50954,"Houston, TX George Bush Intercontinental Airport II","George Bush Airport, 3100 Terminal Road",Houston,TX,77032,US,50954,8328516979,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/TX/Houston50785,"Houston, TX (Memorial City)","303 Memorial City, Suite 850",Houston,TX,77024,US,50785,8323582626,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/OH/Hudson60037,"Hudson, OH (Cold Stone / RMCF)",48 Park Lane,Hudson,OH,44236,US,60037,3306552990,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/WI/Hudson60040,"Hudson, WI (Cold Stone / RMCF)",1005 Pearson Drive,Hudson,WI,54016,US,60040,7153819899,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/WV/Huntington60118,"Huntington, WV CSC",10 Pullman Square,Huntington,WV,25701,US,60118,3045226640,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/CA/HuntingtonBeach50710,"Huntington Beach, CA (Bella Terra)","7777 Edinger Avenue, Suite 178",Huntington Beach,CA,92647,US,50710,7149013107,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/CA/HuntingtonBeach50149,"Huntington Beach, CA","200 Main St., Suite 106",Huntington Beach,CA,92648,US,50149,7149690795,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/CA/Indio50948,"Fantasy Springs Resort Casino - Indio, CA",84245 Indio Springs Parkway,Indio,CA,92203,US,50948,7602385607,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/IA/IowaCity70005,"Iowa City, IA (Aspen Leaf / RMCF) ",125 South Dubuque Street,Iowa City,IA,52240,US,70005,3193519720,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Aspen Leaf
https://www.rmcf.com/CA/Irvine50440,"Irvine, CA",617 Spectrum Center Drive,Irvine,CA,92618,US,50440,9494500999,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/MO/JeffersonCity60028,"Jefferson City, MO (Cold Stone / RMCF)",610 Wildwood Drive,Jefferson City,MO,65109,US,60028,5736362653,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/OH/Jeffersonville50459,"Jeffersonville, OH",8205 Factory Shops Blvd.,Jeffersonville,OH,43128,US,50459,7409489174,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/MO/KansasCity50433,"Kansas City, MO (Union Station)"," 30 W. Pershing, Suite 130 Union Station",Kansas City,MO,64108,US,50433,8164212571,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/KS/KansasCity50701,"Kansas City, KS","1837 Village West Pkwy, Suite 127",Kansas City,KS,66111,US,50701,9132585692,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/IL/LaGrange50578,"La Grange,IL ",50-B La Grange Rd.,La Grange,IL,60525,US,50578,7083526487,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/NE/LaVista60115,"La Vista, NE ","12746 Westport Parkway, Suite 2107",La Vista,NE,68138,US,60115,4029052897,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/CA/LagunaBeach50036,"Laguna Beach, CA ",248 South Coast Highway,Laguna Beach,CA,92651,US,50036,9494973799,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/CA/LakeArrowhead50376,"Lake Arrowhead, CA ","28200 Hwy. 189, Suite C-200",Lake Arrowhead,CA,92352,US,50376,9093374909,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/CO/Lakewood50941,"Belmar Shopping Center (Lakewood, CO)",Belmar Shopping Center,Lakewood,CO,80226,US,50941,3039220748,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/CO/Lakewood60103,"Lakewood, CO (Cold Stone Creamery/RMCF",14239 W. Colfax Avenue,Lakewood,CO,80401,US,60103,3032159364,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/NV/LasVegas70032,"Las Vegas, NV (U-Swirl / RMCF)",305  Avenue N. Nellis,Las Vegas,NV,89110,US,70032,7024531500,<MISSING>,<MISSING>,<MISSING>,<MISSING>,U-Swirl
https://www.rmcf.com/NV/LasVegas50840,"Las Vegas, NV (Fremont)",220 E. Fremont Street,Las Vegas,NV,89101,US,50840,7023801072,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/NV/LasVegas50801,"Las Vegas, NV (Orleans Hotel )",Orleans Hotel 4500 W. Tropicana Ave.,Las Vegas,NV,89103,US,50801,7023621886,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
