"city","country_code","hours_of_operation","latitude","location_name","location_type","locator_domain","longitude","page_url","phone","state","store_number","street_address","zip"
"SHILLINGTON","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","40.307398","Shillington","<MISSING>","https://petsuppliesplus.com/","-75.956286","https://petsuppliesplus.com/Store/PA/SHILLINGTON/Shillington/9025","610-796-2292","PA","9025","538 E Lancaster Ave","19607"
"Whitehall","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","40.642974","Whitehall","<MISSING>","https://petsuppliesplus.com/","-75.490573","https://petsuppliesplus.com/Store/PA/Whitehall/Whitehall/9026","610-432-2199","PA","9026","2433 Macarthur Rd","18052"
"Bayville","US","Sunday  10:00-18:00, Monday  09:00-20:00, Tuesday  09:00-20:00, Wednesday  09:00-20:00, Thursday  09:00-20:00, Friday  09:00-20:00, Saturday  09:00-20:00","39.913125","Bayville","<MISSING>","https://petsuppliesplus.com/","-74.153059","https://petsuppliesplus.com/Store/NJ/Bayville/Bayville/4040","732-269-1896","NJ","4040","445 Atlantic City Blvd","08721"
"Hazlet","US","Sunday  09:00-19:00, Monday  08:30-21:00, Tuesday  08:30-21:00, Wednesday  08:30-21:00, Thursday  08:30-21:00, Friday  08:30-21:00, Saturday  08:30-21:00","40.419455","Hazlet","<MISSING>","https://petsuppliesplus.com/","-74.184923","https://petsuppliesplus.com/Store/NJ/Hazlet/Hazlet/9046","732-264-5777","NJ","9046","3150 Route 35","07730-1520"
"WALL TOWNSHIP","US","Sunday  08:00-19:00, Monday  08:30-21:00, Tuesday  08:30-21:00, Wednesday  08:30-21:00, Thursday  08:30-21:00, Friday  08:30-21:00, Saturday  08:00-21:00","40.16632","Wall Township","<MISSING>","https://petsuppliesplus.com/","-74.05086","https://petsuppliesplus.com/Store/NJ/WALL-TOWNSHIP/Wall-Township/9065","848-469-8700","NJ","9065","1825 Rte 35 Unit 1&2","07719"
"Berkeley Heights","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","40.684959","Berkeley Heights","<MISSING>","https://petsuppliesplus.com/","-74.436956","https://petsuppliesplus.com/Store/NJ/Berkeley-Heights/Berkeley-Heights/9050","908-286-1400","NJ","9050","410 Springfield Ave","07922-1107"
"Hamburg","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","40.561989","Hamburg","<MISSING>","https://petsuppliesplus.com/","-76.010629","https://petsuppliesplus.com/Store/PA/Hamburg/Hamburg/9048","610-562-7075","PA","9048","1764 Tilden Ridge Dr","19526-8170"
"Pen Argyl","US","Sunday  10:00-17:00, Monday  10:00-19:00, Tuesday  10:00-19:00, Wednesday  10:00-19:00, Thursday  10:00-19:00, Friday  10:00-19:00, Saturday  10:00-19:00","40.872238","Pen Argyl","<MISSING>","https://petsuppliesplus.com/","-75.235736","https://petsuppliesplus.com/Store/PA/Pen-Argyl/Pen-Argyl/4157","610-863-0465","PA","4157","1310 Blue Valley Dr","18072"
"Lancaster","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","40.065914","Lancaster","<MISSING>","https://petsuppliesplus.com/","-76.3062","https://petsuppliesplus.com/Store/PA/Lancaster/Lancaster/9037","717-392-1699","PA","9037","1519 Lititz Pike","17601"
"Garwood","US","Sunday  10:00-19:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","40.652312","Garwood","<MISSING>","https://petsuppliesplus.com/","-74.317154","https://petsuppliesplus.com/Store/NJ/Garwood/Garwood/4095","908-789-8509","NJ","4095","119 South Avenue","07027"
"Short Hills","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","40.721234","Short Hills","<MISSING>","https://petsuppliesplus.com/","-74.331903","https://petsuppliesplus.com/Store/NJ/Short-Hills/Short-Hills/9058","973-379-2404","NJ","9058","800 Morris Turnpike Suite 101","07078-2698"
"Cedar Knolls","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","40.811298","Cedar Knolls","<MISSING>","https://petsuppliesplus.com/","-74.468441","https://petsuppliesplus.com/Store/NJ/Cedar-Knolls/Cedar-Knolls/4184","973-867-4999","NJ","4184","170 E Hanover Ave","07927"
"Stroudsburg","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","40.99434","Stroudsburg","<MISSING>","https://petsuppliesplus.com/","-75.245477","https://petsuppliesplus.com/Store/PA/Stroudsburg/Stroudsburg/9032","570-426-3196","PA","9032","101 Pocono Commons","18360-7599"
"Wallington","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","40.84525202","Wallington","<MISSING>","https://petsuppliesplus.com/","-74.10756339","https://petsuppliesplus.com/Store/NJ/Wallington/Wallington/4028","201-372-0170","NJ","4028","375 Patterson Ave Suite 105","07057"
"Nottingham","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","39.37326","Nottingham","<MISSING>","https://petsuppliesplus.com/","-76.50813","https://petsuppliesplus.com/Store/MD/Nottingham/Nottingham/4211","240-986-3579","MD","4211","7927-A Belair Road","21236"
"Pasadena","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","39.124792","Pasadena","<MISSING>","https://petsuppliesplus.com/","-76.591379","https://petsuppliesplus.com/Store/MD/Pasadena/Pasadena/4268","410-934-3967","MD","4268","8048 Ritchie Highway Ste 6D","21122"
"Odenton","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","39.08003","Odenton","<MISSING>","https://petsuppliesplus.com/","-76.68919","https://petsuppliesplus.com/Store/MD/Odenton/Odenton/4082","410-674-5046","MD","4082","1137 Annapolis Rd","21113"
"Alexandria","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","38.765948","Franconia","<MISSING>","https://petsuppliesplus.com/","-77.15281","https://petsuppliesplus.com/Store/VA/Alexandria/Franconia/8055","703-924-7246","VA","8055","7007 Manchester Blvd","22310"
"Falls Church","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","38.904045","Falls Church","<MISSING>","https://petsuppliesplus.com/","-77.203456","https://petsuppliesplus.com/Store/VA/Falls-Church/Falls-Church/8050","703-356-6014","VA","8050","7502 Leesburg Pike","22043"
"Fairfax","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","38.85312","Fairfax","<MISSING>","https://petsuppliesplus.com/","-77.32707","https://petsuppliesplus.com/Store/VA/Fairfax/Fairfax/8054","703-359-2659","VA","8054","11054 Lee Hwy","22030-5014"
"Centreville","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","38.853336","Centreville","<MISSING>","https://petsuppliesplus.com/","-77.44976","https://petsuppliesplus.com/Store/VA/Centreville/Centreville/8056","703-830-8261","VA","8056","5629 Stone Road","20120-1618"
"Ashburn","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","39.061685","Ashburn","<MISSING>","https://petsuppliesplus.com/","-77.46937","https://petsuppliesplus.com/Store/VA/Ashburn/Ashburn/8060","703-858-7108","VA","8060","20020 Ashbrook Commons Plz St 150","20147-5055"
"Manassas","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","38.785875","Manassas","<MISSING>","https://petsuppliesplus.com/","-77.512113","https://petsuppliesplus.com/Store/VA/Manassas/Manassas/4131","703-368-2940","VA","4131","7859 Sudley Rd","20109"
"Beckley","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","37.804362","Beckley","<MISSING>","https://petsuppliesplus.com/","-81.1762","https://petsuppliesplus.com/Store/WV/Beckley/Beckley/165","304-252-2994","WV","165","1268 N Eisenhower Dr","25801-3120"
"Vienna","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","39.304423","Vienna","<MISSING>","https://petsuppliesplus.com/","-81.551317","https://petsuppliesplus.com/Store/WV/Vienna/Vienna/153","304-422-5100","WV","153","605 Grand Central Ave","26105-2188"
"Clarksburg","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","39.268946","Clarksburg","<MISSING>","https://petsuppliesplus.com/","-80.283907","https://petsuppliesplus.com/Store/WV/Clarksburg/Clarksburg/139","304-624-3911","WV","139","478 Emily Dr","26301-5514"
"Dallas","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","32.835913","Casa View","<MISSING>","https://petsuppliesplus.com/","-96.672951","https://petsuppliesplus.com/Store/TX/Dallas/Casa-View/4234","469-466-2939","TX","4234","2331 Gus Thomasson Rd Suite 2461","75228"
"Garland","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","32.862828","Garland","<MISSING>","https://petsuppliesplus.com/","-96.643649","https://petsuppliesplus.com/Store/TX/Garland/Garland/7015","469-814-0988","TX","7015","1031 Northwest Hwy","75041-5831"
"Dallas","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","32.836139","Dallas - Mockingbird Ln","<MISSING>","https://petsuppliesplus.com/","-96.762201","https://petsuppliesplus.com/Store/TX/Dallas/Dallas---Mockingbird-Ln/7002","214-827-1248","TX","7002","6060 E Mockingbird Ln","75206-5466"
"Dallas","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","32.811444","Dallas - Greenville Ave","<MISSING>","https://petsuppliesplus.com/","-96.76999","https://petsuppliesplus.com/Store/TX/Dallas/Dallas---Greenville-Ave/7017","469-249-8210","TX","7017","1704 Greenville Ave","75206-7417"
"Richardson","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","32.953522","Richardson","<MISSING>","https://petsuppliesplus.com/","-96.768412","https://petsuppliesplus.com/Store/TX/Richardson/Richardson/7010","214-276-5496","TX","7010","200 N Coit Rd Ste 330","75080-6212"
"Dallas","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","32.952502","Pepper Square","<MISSING>","https://petsuppliesplus.com/","-96.803235","https://petsuppliesplus.com/Store/TX/Dallas/Pepper-Square/4150","469-778-0155","TX","4150","14902 Preston Rd Suites 1000 A-D","75254"
"Dallas","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","32.81066","Dallas - Wycliff","<MISSING>","https://petsuppliesplus.com/","-96.81944","https://petsuppliesplus.com/Store/TX/Dallas/Dallas---Wycliff/4064","972-807-6317","TX","4064","2525 Wycliff Avenue Suite 126","75219"
"Dallas","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","32.909999","Dallas - Forest Ln","<MISSING>","https://petsuppliesplus.com/","-96.855475","https://petsuppliesplus.com/Store/TX/Dallas/Dallas---Forest-Ln/7013","972-247-2491","TX","7013","3717 Forest Ln","75244-7127"
"Dallas","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","32.987512","Dallas - Trinity Mills","<MISSING>","https://petsuppliesplus.com/","-96.853821","https://petsuppliesplus.com/Store/TX/Dallas/Dallas---Trinity-Mills/7011","972-428-5973","TX","7011","3315 Trinity Mills Rd","75287-6201"
"Wylie","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","33.009299","Wylie","<MISSING>","https://petsuppliesplus.com/","-96.573754","https://petsuppliesplus.com/Store/TX/Wylie/Wylie/4140","469-991-6200","TX","4140","807 Woodbridge Pkwy","75098"
"Plano","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","33.069965","Plano","<MISSING>","https://petsuppliesplus.com/","-96.773554","https://petsuppliesplus.com/Store/TX/Plano/Plano/7005","972-491-0719","TX","7005","4100 Legacy Dr Ste 402","75024-3404"
"Carrollton","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","33.02192","Carrollton","<MISSING>","https://petsuppliesplus.com/","-96.91744","https://petsuppliesplus.com/Store/TX/Carrollton/Carrollton/4057","214-731-6554","TX","4057","1012 Hebron Parkway West Ste 120","75010"
"Forney","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","32.747036","Forney","<MISSING>","https://petsuppliesplus.com/","-96.449345","https://petsuppliesplus.com/Store/TX/Forney/Forney/4170","469-277-4941","TX","4170","471 Marketplace Blvd Ste 100","75126"
"Lewisville","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","33.00488","Lewisville","<MISSING>","https://petsuppliesplus.com/","-96.985804","https://petsuppliesplus.com/Store/TX/Lewisville/Lewisville/7014","972-318-2381","TX","7014","291 E Round Grove Rd Ste 150","75067-3876"
"Frisco","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","33.179752","Frisco","<MISSING>","https://petsuppliesplus.com/","-96.867101","https://petsuppliesplus.com/Store/TX/Frisco/Frisco/4133","469-803-5712","TX","4133","12205 Teel Parkway #300","75034"
"McKinney","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","33.21632","McKinney","<MISSING>","https://petsuppliesplus.com/","-96.680136","https://petsuppliesplus.com/Store/TX/McKinney/McKinney/4220","469-731-3281","TX","4220","1821 N Lake Forest Dr Ste 900","75071"
"Hurst","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","32.84338","Hurst","<MISSING>","https://petsuppliesplus.com/","-97.18555","https://petsuppliesplus.com/Store/TX/Hurst/Hurst/7018","682-325-5973","TX","7018","1616 Precinct Line Road","76054"
"North Richland Hills","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","32.902318","North Tarrant - Coming Soon","<MISSING>","https://petsuppliesplus.com/","-97.187487","https://petsuppliesplus.com/Store/TX/North-Richland-Hills/North-Tarrant/4318","817-585-4552","TX","4318","9160 N Tarrant Pkwy Ste 108","76182"
"Arlington","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","32.683723","Arlington - S Cooper","<MISSING>","https://petsuppliesplus.com/","-97.132314","https://petsuppliesplus.com/Store/TX/Arlington/Arlington---S-Cooper/7016","817-583-8502","TX","7016","3801 S Cooper St","76015-4133"
"Arlington","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","32.64868","Arlington - W Sublet","<MISSING>","https://petsuppliesplus.com/","-97.130036","https://petsuppliesplus.com/Store/TX/Arlington/Arlington---W-Sublet/4247","682-808-4956","TX","4247","5335 W Sublett Rd","76017"
