"city","country_code","hours_of_operation","latitude","location_name","location_type","locator_domain","longitude","page_url","phone","state","store_number","street_address","zip"
"Hamburg","DE","<MISSING>","53.4884","Hamburg - Bergedorf","JACK & JONES","jackjones.com","10.2073","https://www.jackjones.com/nl/en/stores","494072542451","<MISSING>","3305","Bergerdorfer Strasse105","21029"
"Hamburg","DE","<MISSING>","53.5738","Hamburg EKZ Hamburgerstrasse","JACK & JONES","jackjones.com","10.0324","https://www.jackjones.com/nl/en/stores","494022695165","<MISSING>","2687","erstrasse19 -47","22083"
"Hamburg","DE","<MISSING>","53.5718","Karstadt - CD1 - Fil.150 - Abt.241","JACK & JONES","jackjones.com","10.0655","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","11671","Wandsbeker Markt 63 -65","22041"
"Hamburg","DE","<MISSING>","53.5511","Kaufhof - CD1 - Fil. 343 - Abt. 241","JACK & JONES","jackjones.com","10.0043","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","15008","Mönckebergstr.3","20095"
"Hamburg","DE","<MISSING>","53.5755","Karstadt - CD1 - Fil.146 - Abt.241","JACK & JONES","jackjones.com","9.95226","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","11670","Osterstr.119","20259"
"Hamburg","DE","<MISSING>","53.5408","Hamburg - Billstedt Center","JACK & JONES","jackjones.com","10.1054","https://www.jackjones.com/nl/en/stores","494073115738","<MISSING>","3409","Möllner Landstr.3","22111"
"Hamburg","DE","<MISSING>","53.6532","Kaufhof - CD1 - Fil. 519 - Abt. 241","JACK & JONES","jackjones.com","10.0894","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","15050","Kritenbarg2","22391"
"Hamburg","DE","<MISSING>","53.5524","Hamburg - Spitalerstrasse","JACK & JONES","jackjones.com","10.0034","https://www.jackjones.com/nl/en/stores","49403037436","<MISSING>","2453","Spitalerstrasse6","20095"
"Hamburg","DE","<MISSING>","53.6373","BESTSELLER Showroom - Hamburg","JACK & JONES","jackjones.com","9.92339","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","15904","Modering,1 Haus A,Raum201","22457"
"Hamburg","DE","<MISSING>","53.5512","Karstadt - CD1 - Fil.149 - Abt.241","JACK & JONES","jackjones.com","9.99823","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","11669","Mönckebergstr.16","20095"
"Hamburg","DE","<MISSING>","53.4878","Karstadt - CD1 - Fil.311 - Abt.241","JACK & JONES","jackjones.com","10.2126","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","11686","Bergedorfer Markt 5 -7","21029"
"Hamburg","DE","<MISSING>","53.5514","Hamburg - Europa Passage","JACK & JONES","jackjones.com","9.99607","https://www.jackjones.com/nl/en/stores","494076755175","<MISSING>","13770","Ballindamm40","20095"
"Hamburg","DE","<MISSING>","53.5514","THEO WORMLAND - HAMBURG EUROPA PASSAGE FIL. 06","JACK & JONES","jackjones.com","9.99694","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","12758","Ballindamm40","20095"
"Hamburg","DE","<MISSING>","53.6536","Hamburg AEZ","JACK & JONES","jackjones.com","10.0901","https://www.jackjones.com/nl/en/stores","4940636497210","<MISSING>","3581","Heegbarg31","22391"
"Hamburg","DE","<MISSING>","53.5711","Hamburg - Osdorfer Landstrasse","JACK & JONES","jackjones.com","9.86158","https://www.jackjones.com/nl/en/stores","494086624483","<MISSING>","2704","Osdorfer Landstrasse0","22609"
"Sydney","AU","<MISSING>","-33.8706","Myer - Sydney City","JACK & JONES","jackjones.com","151.209","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","11223","436 George Street","2000"
"Haßfurt","DE","<MISSING>","50.0331","AWG Allgemeine Warenvertriebs- GmbH","JACK & JONES","jackjones.com","10.542","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","11104","Robert-Bosch-Str.1","97437"
"Torino (TR)","IT","<MISSING>","45.089","BESTSELLER Showroom - Presso Lanificio Torino","JACK & JONES","jackjones.com","7.71101","https://www.jackjones.com/nl/en/stores","39055837798","<MISSING>","16500","Via Bologna,220","10154"
"La Coruña","ES","<MISSING>","43.3442","Coruña - Marineda City","JACK & JONES","jackjones.com","-8.42719","https://www.jackjones.com/nl/en/stores","34981632540","<MISSING>","3384","Carretera de Baños de Artexo s/n sn local 1.36 - 1.37","15008"
"Ipswich","GB","<MISSING>","52.0586","Debenhams Plc (JJ Ipswich)","JACK & JONES","jackjones.com","1.15258","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","11846","Waterloo House","IP1 3EH"
"Førde","NO","<MISSING>","61.4536","Førde","JACK & JONES","jackjones.com","5.85085","https://www.jackjones.com/nl/en/stores","4757832100","<MISSING>","2681","Naustdalsv.4","6800"
"Molde","NO","<MISSING>","62.737","Molde","JACK & JONES","jackjones.com","7.15871","https://www.jackjones.com/nl/en/stores","4793458138","<MISSING>","10116"," Torg","6413"
"Trieste (Ts)","IT","<MISSING>","45.6498","Coin Trieste 510","JACK & JONES","jackjones.com","13.7737","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","12921","Cso Italia16","34122"
"Santiago De Compostela","ES","<MISSING>","42.8644","ECI COMPOSTELA - SUC. 0683","JACK & JONES","jackjones.com","-8.54313","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","11494","Rua Do Restollal,50","15702"
"Maasmechelen","BE","<MISSING>","50.9863","Maasmechelen - Maasmechelen M2 SC","JACK & JONES","jackjones.com","5.70161","https://www.jackjones.com/nl/en/stores","3289852204","<MISSING>","4314","Koninginnelaan115","3630"
"Kriens","CH","<MISSING>","47.018","Kriens - Pilatusmarkt","JACK & JONES","jackjones.com","8.29968","https://www.jackjones.com/nl/en/stores","41413400248","<MISSING>","3282","Ringstrasse19","6010"
"Montreal","CA","<MISSING>","45.5288","Montreal - Centre Rockland","JACK & JONES","jackjones.com","-73.6473","https://www.jackjones.com/nl/en/stores","5147353927","<MISSING>","3205","2305 Rockland Road","H3P 3E9"
"Montreal","CA","<MISSING>","45.4998","Montreal - Rue Ste-Catherine","JACK & JONES","jackjones.com","-73.5733","https://www.jackjones.com/nl/en/stores","5142852510","<MISSING>","3492","1115 Rue Ste-Catherine Ouest","H3B 1H8"
"Montreal","CA","<MISSING>","45.5922","Montreal - Place Versailles","JACK & JONES","jackjones.com","-73.5425","https://www.jackjones.com/nl/en/stores","5143521426","<MISSING>","3217","7275 Sherbrooke St, East","H1N 1E9"
"Montreal","CA","<MISSING>","45.5019","Montreal - Place Montreal Trust","JACK & JONES","jackjones.com","-73.5723","https://www.jackjones.com/nl/en/stores","5149850009","<MISSING>","3208","1500 Avenue McGill College","H3A 3J5"
"Montreal","CA","<MISSING>","45.6004","Anjou - Galeries d´Anjou","JACK & JONES","jackjones.com","-73.5643","https://www.jackjones.com/nl/en/stores","5143529750","<MISSING>","3531","7999 Boulevard des Galeries d´Anjou","H1M 1W6"
"Ottawa","CA","<MISSING>","45.3475","Ottawa - Bayshore Mall","JACK & JONES","jackjones.com","-75.8064","https://www.jackjones.com/nl/en/stores","6138292426","<MISSING>","3212","100 Bayshore Drive","K2B 8C1"
"Ottawa","CA","<MISSING>","45.4223","Ottawa - St. Laurent Centre","JACK & JONES","jackjones.com","-75.6395","https://www.jackjones.com/nl/en/stores","6137467269","<MISSING>","3449","1200 St. Laurent blvd","K1K 3B8"
"Roma","IT","<MISSING>","41.8841","Roma - Gran Roma","JACK & JONES","jackjones.com","12.6076","https://www.jackjones.com/nl/en/stores","390645686120","<MISSING>","5009","Via Aristide Merloni141","00155"
"Roma","IT","<MISSING>","41.9144","Roma Est","JACK & JONES","jackjones.com","12.6617","https://www.jackjones.com/nl/en/stores","390622510240","<MISSING>","3241","Via Collatina858","00155"
"Markham","CA","<MISSING>","43.8679","Markham - Markville Shopping Centre","JACK & JONES","jackjones.com","-79.2887","https://www.jackjones.com/nl/en/stores","9054700462","<MISSING>","3472","5000 Highway 7 east","L3R 4M9"
"Holbæk","DK","<MISSING>","55.7176","Holbæk - Ahlgade","JACK & JONES","jackjones.com","11.7115","https://www.jackjones.com/nl/en/stores","4559419003","<MISSING>","1080","Ahlgade36","4300"
"Heitersheim","DE","<MISSING>","47.8756","AWG ALLGEMEINE WARENVERTRIEBS- GMBH","JACK & JONES","jackjones.com","7.65608","https://www.jackjones.com/nl/en/stores","490702497140","<MISSING>","11633","Im Stühlinger56","79423"
"Dundalk","IE","<MISSING>","54.0023","Dundalk","JACK & JONES","jackjones.com","-6.40021","https://www.jackjones.com/nl/en/stores","353429328057","<MISSING>","10703","Unit12 the marshes shopping centre ,","A91 ET71"
"Almeria","ES","<MISSING>","36.8578","Almeria - Torrecardenas","JACK & JONES","jackjones.com","-2.43816","https://www.jackjones.com/nl/en/stores","34950289171","<MISSING>","4682","Avd. Torrecárdenas","04009"
"Almeria","ES","<MISSING>","36.8534","Almeria - Mediterraneo","JACK & JONES","jackjones.com","-2.4467","https://www.jackjones.com/nl/en/stores","34950142397","<MISSING>","3276","Av. Mediterráneo - s/n","04006"
"Trondheim","NO","<MISSING>","63.4434","Trondheim - City Lade","JACK & JONES","jackjones.com","10.4477","https://www.jackjones.com/nl/en/stores","4793452447","<MISSING>","10865","Haakon VII gate9","7041"
"Trondheim","NO","<MISSING>","63.43","Trondheim - Torget","JACK & JONES","jackjones.com","10.3939","https://www.jackjones.com/nl/en/stores","4793445357","<MISSING>","10040","Kongensgate11","7013"
"Arendal","NO","<MISSING>","58.4596","Arendal - Amfi Arena","JACK & JONES","jackjones.com","8.7634","https://www.jackjones.com/nl/en/stores","4740675620","<MISSING>","4167","Vesterveien4","4836"
"Roermond","NL","<MISSING>","51.2006","Roermond - Designer Outlet","JACK & JONES","jackjones.com","5.98715","https://www.jackjones.com/nl/en/stores","31475256017","<MISSING>","5365","Stadsweide174","6041 TD"
"Roermond","NL","<MISSING>","51.1941","Roermond - Steenweg","JACK & JONES","jackjones.com","5.98675","https://www.jackjones.com/nl/en/stores","31475745134","<MISSING>","5064","Steenweg12 b","6041 EW"
"Pompei  (NA)","IT","<MISSING>","40.7486","Kick Off (Pompei)","JACK & JONES","jackjones.com","14.4774","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","14163","Via Plinio88","80045"
"Sankt Augustin","DE","<MISSING>","50.7784","Sankt Augustin - HUMA","JACK & JONES","jackjones.com","7.18646","https://www.jackjones.com/nl/en/stores","4922419114813","<MISSING>","4230","Rathausallee16","53757"
"Nijverdal","NL","<MISSING>","52.3649","Eshuis Unique herenmode","JACK & JONES","jackjones.com","6.45948","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","14378","Keizerserf6","7442 MN"
"Armilla","ES","<MISSING>","37.1471","Granada - Nevada","JACK & JONES","jackjones.com","-3.61447","https://www.jackjones.com/nl/en/stores","34958650003","<MISSING>","4222","Av. de las Palmeras,75","18100"
"Dublin 24","IE","<MISSING>","53.2863","The Square","JACK & JONES","jackjones.com","-6.37118","https://www.jackjones.com/nl/en/stores","35314627312","<MISSING>","10103","Belgard Square E","D24 ND77"
"Anderlecht","BE","<MISSING>","50.8192","Anderlecht - Cora","JACK & JONES","jackjones.com","4.28072","https://www.jackjones.com/nl/en/stores","32025238065","<MISSING>","4764","Olympische Dreef15","1070"
"Anderlecht","BE","<MISSING>","50.839","Anderlecht -Westland SC","JACK & JONES","jackjones.com","4.28703","https://www.jackjones.com/nl/en/stores","3224633631","<MISSING>","4514","Bld. Sylvain Dupuis379 -481","1070"
"Catania (Ct)","IT","<MISSING>","37.5063","Coin Catania 819","JACK & JONES","jackjones.com","15.087","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","12913","Via Etnea116 /124","95131"
"Rimini (Rn)","IT","<MISSING>","44.0584","Coin Rimini 539","JACK & JONES","jackjones.com","12.5698","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","12908","Corso D'Augusto59","47921"
"Guadalajara","ES","<MISSING>","40.6227","ECI GUADALAJARA - SUC. 0876","JACK & JONES","jackjones.com","-3.16533","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","11964","Avenida Eduardo Guitian S/n","19002"
"Guadalajara","ES","<MISSING>","40.6224","Guadalajara - Ferial Plaza","JACK & JONES","jackjones.com","-3.16639","https://www.jackjones.com/nl/en/stores","34949319440","<MISSING>","10317","Parcela Sector SP PP107 B","19002"
"Rosenheim","DE","<MISSING>","47.849","MODEPARK RÖTHER GMBH - Rosenheim","JACK & JONES","jackjones.com","12.1285","https://www.jackjones.com/nl/en/stores","49080319415601","<MISSING>","11873","Kufsteiner Strasse55","83022"
"Rosenheim","DE","<MISSING>","47.8544","Rosenheim","JACK & JONES","jackjones.com","12.1254","https://www.jackjones.com/nl/en/stores","4980312315742","<MISSING>","4579","Münchenerstr.7","83022"
"Rosenheim","DE","<MISSING>","47.8547","Karstadt - CD1 - Fil.184 - Abt.241","JACK & JONES","jackjones.com","12.1249","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","11369","Münchener Str.12","83022"
"Elche","ES","<MISSING>","38.1944","ECI CIUDAD DE ELCHE - SUC. 0813","JACK & JONES","jackjones.com","-0.57214","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","11493","Avenida Del Alcalde Ramon Pastor,2","03293"
"Valladolid","ES","<MISSING>","41.6511","ECI CONSTITUCION - SUC. 0919","JACK & JONES","jackjones.com","-4.7276","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","11495","Constitucion,2","47001"
"Valladolid","ES","<MISSING>","41.6231","Valladolid - Vallsur","JACK & JONES","jackjones.com","-4.75089","https://www.jackjones.com/nl/en/stores","34983275379","<MISSING>","10242","Paseo de Zorrilla s/n","47008"
"Valladolid","ES","<MISSING>","41.6373","ECI VALLADOLID - SUC. 0019","JACK & JONES","jackjones.com","-4.74012","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","11950","Plaza Zorrilla,130","47006"
"Santa Cruz de Tenerife","ES","<MISSING>","28.4569","Tenerife - El Meridiano","JACK & JONES","jackjones.com","-16.2583","https://www.jackjones.com/nl/en/stores","34928210220","<MISSING>","10445","Aurena Diaz Flores4","38005"
"Middelburg","NL","<MISSING>","51.498","Middelburg","JACK & JONES","jackjones.com","3.61133","https://www.jackjones.com/nl/en/stores","31118612854","<MISSING>","10353","Markt55","4331 LK"
"Köln","DE","<MISSING>","50.9391","Köln - Arcaden","JACK & JONES","jackjones.com","6.99745","https://www.jackjones.com/nl/en/stores","4922198949951","<MISSING>","2495","Kalker Hauptstrasse55","51103"
"Köln","DE","<MISSING>","50.9359","Kaufhof - CD1 - Fil. 309 - Abt. 241","JACK & JONES","jackjones.com","6.9554","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","15002","Hohe Straße41 -53","50667"
"Köln","DE","<MISSING>","50.9387","Köln - Hohestrasse 115","JACK & JONES","jackjones.com","6.95618","https://www.jackjones.com/nl/en/stores","4922127758686","<MISSING>","2816","Hohestrasse115","50667"
"Köln","DE","<MISSING>","50.9384","Karstadt - CD1 - Fil.162 - Abt.241","JACK & JONES","jackjones.com","6.94879","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","11695","Breite Str.103 -135","50667"
"Köln","DE","<MISSING>","50.9366","Köln - Schildergasse","JACK & JONES","jackjones.com","6.95074","https://www.jackjones.com/nl/en/stores","492212726074","<MISSING>","2499","Schildergasse98 -102","50667"
"Köln","DE","<MISSING>","50.9632","Kaufhof - CD1 - Fil. 515 - Abt. 241","JACK & JONES","jackjones.com","6.95452","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","14992","Neusser Str.242 -244","50733"
"Morlaix","FR","<MISSING>","48.5738","Morlaix - La Galerie","JACK & JONES","jackjones.com","-3.85048","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","13775","Boulevard Saint-Martin des Champs","29291"
"Sundsvall","SE","<MISSING>","62.447","Birsta - Sundsvall","JACK & JONES","jackjones.com","17.3359","https://www.jackjones.com/nl/en/stores","46607871143","<MISSING>","2862","Gesällvägen1","863 41"
"Conthey","CH","<MISSING>","46.2236","Conthey - Forum des Alpes","JACK & JONES","jackjones.com","7.30162","https://www.jackjones.com/nl/en/stores","41273462363","<MISSING>","3533","Route Des Alpes15","1964"
"Cardiff","GB","<MISSING>","51.4793","Cardiff - Upper","JACK & JONES","jackjones.com","-3.17473","https://www.jackjones.com/nl/en/stores","4402920649930","<MISSING>","3871","32/34 Grand Arcade","CF10 2EQ"
"Neu Ulm","DE","<MISSING>","48.3947","Modepark Röther GmbH - Neu Ulm","JACK & JONES","jackjones.com","10.0155","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","13809","Borsigstr.15","89231"
"Neu Ulm","DE","<MISSING>","48.3943","Neu Ulm - Glacis Galerie","JACK & JONES","jackjones.com","10.0052","https://www.jackjones.com/nl/en/stores","4973194023985","<MISSING>","2697","Bahnhofstraße1 /3","89231"
"Würzburg","DE","<MISSING>","49.7955","Kaufhof - CD1 - Fil. 977 - Abt. 241","JACK & JONES","jackjones.com","9.93058","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","14979","Schönbornstr.3","97070"
"Würzburg","DE","<MISSING>","49.7958","Würzburg - Schönbornstrasse","JACK & JONES","jackjones.com","9.9309","https://www.jackjones.com/nl/en/stores","4993199111791","<MISSING>","12205","Schönbornstrasse5","97070"
"Rådal","NO","<MISSING>","60.297","Lagunen Senter","JACK & JONES","jackjones.com","5.33064","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","14017","Krohnåsvegen12","5239"
"Alingsås","SE","<MISSING>","57.9298","Alingsås - Storken","JACK & JONES","jackjones.com","12.5357","https://www.jackjones.com/nl/en/stores","46322649100","<MISSING>","10993","Kungsgatan29","441 30"
"Öhringen","DE","<MISSING>","49.205","AWG Allgemeine Warenvertriebs GmbH","JACK & JONES","jackjones.com","9.51912","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","11101","Göethestr.58","74613"
"Corciano- loc. Ellera (Pg)","IT","<MISSING>","43.0997","King (Corciano-loc. Ellera)","JACK & JONES","jackjones.com","12.309","https://www.jackjones.com/nl/en/stores","390716610887","<MISSING>","13130","Via Aldo Capitani nr14 c/o C.tro Comm.le Quasar Village","06073"
"Newmarket Ontario","CA","<MISSING>","44.0563","Newmarket, ON - Upper Canada Mall","JACK & JONES","jackjones.com","-79.4863","https://www.jackjones.com/nl/en/stores","9058532276","<MISSING>","3295","Yonge Street","L3Y 4Z1"
"Firenze (Fi)","IT","<MISSING>","43.7711","Coin Firenze 504","JACK & JONES","jackjones.com","11.2554","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","12915","Via de' Calzaiuoli6 /R","50122"
"Tønsberg","NO","<MISSING>","59.2697","Tønsberg","JACK & JONES","jackjones.com","10.4122","https://www.jackjones.com/nl/en/stores","4748514250","<MISSING>","2596","Jernbanegate1 B","3110"
"Napoli (NA)","IT","<MISSING>","40.8472","J&Co (Magi retail)","JACK & JONES","jackjones.com","14.2619","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","14844","Via Duomo308","80126"
"Zaragoza","ES","<MISSING>","41.6708","Zaragoza - Gran Casa","JACK & JONES","jackjones.com","-0.889652","https://www.jackjones.com/nl/en/stores","34976515183","<MISSING>","5198","Maria Zambrano35","50015"
"Zaragoza","ES","<MISSING>","41.6568","ECI C.c. Puerto Venecia - Suc. 0481","JACK & JONES","jackjones.com","-0.87991","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","11485","Avenida Isla De Murano15","50021"
"Zaragoza","ES","<MISSING>","41.6088","Zaragoza - Puerto Venecia","JACK & JONES","jackjones.com","-0.887555","https://www.jackjones.com/nl/en/stores","34976930794","<MISSING>","5197","Avenida Puerto Venecia s/n, C.C. Puerto Venecia - Local 36","50021"
"Zaragoza","ES","<MISSING>","41.6453","ECI ZARAGOZA - SUC. 0014","JACK & JONES","jackjones.com","-0.884944","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","11954","Paseo De Sagasta,3","50008"
"Lanaken","BE","<MISSING>","50.8902","WAMO, Lanaken","JACK & JONES","jackjones.com","5.66882","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","12005","Bedrijfsweg12","3620"
"HÖCHST","DE","<MISSING>","49.7988","AWG ALLGEMEINE WARENVERTRIEBS- GMBH","JACK & JONES","jackjones.com","8.9951","https://www.jackjones.com/nl/en/stores","490702497140","<MISSING>","11649","ERBACHER STR.1 -3","64739"
"Worms","DE","<MISSING>","49.6311","JOST GMBH - FIL. WORMS","JACK & JONES","jackjones.com","8.36455","https://www.jackjones.com/nl/en/stores","49063599520","<MISSING>","11076","Am Römischen Kaiser 16 -20","67547"
"Worms","DE","<MISSING>","49.6316","Worms","JACK & JONES","jackjones.com","8.36252","https://www.jackjones.com/nl/en/stores","4962412680734","<MISSING>","2574","Kämmererstr.29","67547"
"Worms","DE","<MISSING>","49.6313","Kaufhof - CD1 - Fil. 506 - Abt. 241","JACK & JONES","jackjones.com","8.36316","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","14993","Kämmererstr.24 -32","67547"
"Vic (Bcn)","ES","<MISSING>","41.9314","Vic - Carmen","JACK & JONES","jackjones.com","2.25475","https://www.jackjones.com/nl/en/stores","34938867156","<MISSING>","10292","Rambla del Carmen29","08500"
"Valbo","SE","<MISSING>","60.6332","Valbo","JACK & JONES","jackjones.com","16.9939","https://www.jackjones.com/nl/en/stores","4626133330","<MISSING>","2794"," Vägen307","818 32"
"Vila Nova De Gaia","PT","<MISSING>","41.1255","ECIGA GAIA - SUC. 0142","JACK & JONES","jackjones.com","-8.6049","https://www.jackjones.com/nl/en/stores","3511223781400","<MISSING>","11790","Avenida Da Republica,1435","4430999"
"Vila Nova De Gaia","PT","<MISSING>","41.1257","ECI GAIA - SUC. 0142","JACK & JONES","jackjones.com","-8.60526","https://www.jackjones.com/nl/en/stores","3511223781400","<MISSING>","13773","Avenida Da Republica,1435","4430999"
"Sint-Truiden","BE","<MISSING>","50.8103","WAMO, Sint Truiden","JACK & JONES","jackjones.com","5.19041","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","12018","Kwadensteenweg2","3800"
"Hallstadt","DE","<MISSING>","49.9177","Hallstadt -ERTL-Zentrum","JACK & JONES","jackjones.com","10.8711","https://www.jackjones.com/nl/en/stores","4995196865750","<MISSING>","5107","Emil-Kemmer-Straße19","96103"
"Heidenheim","DE","<MISSING>","48.68","Heidenheim","JACK & JONES","jackjones.com","10.1531","https://www.jackjones.com/nl/en/stores","4973215575148","<MISSING>","3590","Karlstrasse12","89518"
"Campi Bisenzio (FI)","IT","<MISSING>","43.8467","Coin Campi Bisenzio 921","JACK & JONES","jackjones.com","11.1433","https://www.jackjones.com/nl/en/stores","390523653241","<MISSING>","12901","Via San Quirico,165","50013"
"Settimo Torinese (TO)","IT","<MISSING>","45.1398","King (Settimo Torinese)","JACK & JONES","jackjones.com","7.73293","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","14785","Via Niccolò Paganini CC Settimo Cielo","10036"
"Mersin","TR","<MISSING>","36.7853","Mersin - Forum Mersin","JACK & JONES","jackjones.com","34.588","https://www.jackjones.com/nl/en/stores","3243269858","<MISSING>","5261","Güvenevler Mah. 1. Cad. No:133","33140"
"Bielefeld","DE","<MISSING>","52.0261","Bielefeld","JACK & JONES","jackjones.com","8.5316","https://www.jackjones.com/nl/en/stores","4952196750983","<MISSING>","2782","Bahnhofstraße30","33602"
"Bielefeld","DE","<MISSING>","52.024","Karstadt - CD1 - Fil.103 - Abt.241","JACK & JONES","jackjones.com","8.53221","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","11692","Bahnhofstr. 15 -17","33602"
"Chadstone","AU","<MISSING>","-37.8873","Myer - Chadstone","JACK & JONES","jackjones.com","145.083","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","11186","1341 Dandenong Road","3148"
"Mülheim","DE","<MISSING>","51.4374","Mülheim - Rhein Rhur Zentrum","JACK & JONES","jackjones.com","6.95421","https://www.jackjones.com/nl/en/stores","4920888268942","<MISSING>","3460","Humboldtring13","45472"
"Mülheim","DE","<MISSING>","51.4395","Karstadt - CD1 - Fil.175 - Abt.241","JACK & JONES","jackjones.com","6.95364","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","11675","Humboltring5","45472"
