locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,latitude,longitude,hours_of_operation,store_status
https://rapidfiredpizza.com/locations,Dayton: Brown St,"1200 Brown St, Ste 105",Dayton,OH,45409,US,<MISSING>,,<MISSING>,39.7412586,-84.1840666,Sun-Thu: 10:03am-10pm; Fri-Sat: 10:30am-11pm,Coming Soon
https://rapidfiredpizza.com/locations,Eastgate,720 Eastgate South Drive,Cincinnati,OH,45245,US,<MISSING>,5138437843,<MISSING>,39.095399,-84.272624,Sun-Thu: 10:30am-10pm; Fri-Sat: 10:30am-11pm,Open
https://rapidfiredpizza.com/locations,Englewood,1080 S Main Street,Englewood,OH,45322,US,<MISSING>,9375408033,<MISSING>,39.861605,-84.283784,Sun-Thu: 10:30am-10pm; Fri-Sat: 10:30am-11pm,Open
https://rapidfiredpizza.com/locations,Fairborn/WSU,2800 Colonel Glenn Highway,Fairborn,OH,45324,US,<MISSING>,9374262750,<MISSING>,39.77778,-84.058525,Sun-Thu: 10:30am-10pm; Fri-Sat: 10:30am-11pm,Open
https://rapidfiredpizza.com/locations,Fairfield,6775 Dixie Hwy,Fairfield,OH,45014,US,<MISSING>,5138749000,<MISSING>,39.317307,-84.494046,Sun-Thu: 10:30am-10pm; Fri-Sat: 10:30am-11pm,Open
https://rapidfiredpizza.com/locations,Greenville,1487 Wagner Ave,Greenville,OH,45331,US,<MISSING>,9378084180,<MISSING>,34.8592963,-82.265806,Sun-Thu: 10:30am-10pm; Fri-Sat: 10:30am-11pm,Open
https://rapidfiredpizza.com/locations,Hilliard,3646 Fishinger Blvd,Hilliard,OH,43026,US,<MISSING>,6148760800,<MISSING>,40.028472,-83.116083,Sun-Thu: 10:30am-10pm; Fri-Sat: 10:30am-11pm,Open
https://rapidfiredpizza.com/locations,Huber Heights,6315 Brandt Pike,Huber Heights,OH,45424,US,<MISSING>,9379513901,<MISSING>,39.844036,-84.116148,Sun-Thu: 10:30am-10pm; Fri-Sat: 10:30am-11pm,Open
https://rapidfiredpizza.com/locations,Kettering,2001 E Dorothy Lane,Kettering,OH,45420,US,<MISSING>,9374249480,<MISSING>,39.703363,-84.127222,Sun-Thu: 10:30am-10pm; Fri-Sat: 10:30am-11pm,Open
https://rapidfiredpizza.com/locations,Lima,2815 Elida Rd,Lima,OH,45805,US,<MISSING>,4192214747,<MISSING>,40.766054,-84.157359,Sun-Thu: 10:30am-10pm; Fri-Sat: 10:30am-11pm,Open
https://rapidfiredpizza.com/locations,Middletown,3583 Dixie Highway,Middletown,OH,45005,US,<MISSING>,5137834679,<MISSING>,39.497101,-84.336572,Sun-Thu: 10:30am-10pm; Fri-Sat: 10:30am-11pm,Open
https://rapidfiredpizza.com/locations,Milford,200 Chamber Dr Suite 150,Milford,OH,45150,US,<MISSING>,,<MISSING>,39.1604631,-84.2797195,Sun-Thu: 10:30am-9pm; Fri-Sat: 10:30am-9pm,Coming Soon
https://rapidfiredpizza.com/locations,Mount Orab Kroger,210 Sterling Run Blvd,Mt Orab,OH,45154,US,<MISSING>,9374446994,<MISSING>,39.0395221,-83.9253177,Sun-Thu: 10:30am-9pm; Fri-Sat: 10:30am-9pm,Open
https://rapidfiredpizza.com/locations,Oakley Kroger,4613 Marburg Ave,Cincinnati,OH,45209,US,<MISSING>,,<MISSING>,39.1597587,-84.4294832,Sun-Thu: 10:30am-9pm; Fri-Sat: 10:30am-9pm,Coming Soon
https://rapidfiredpizza.com/locations,Oxford,7 West High Street,Oxford,OH,45056,US,<MISSING>,5132806231,<MISSING>,39.510202,-84.742885,Sun-Thu: 10:30am-10pm; Fri-Sat: 10:30am-11pm,Open
https://rapidfiredpizza.com/locations,Portsmouth,828 11th Street,Portsmouth,OH,45662,US,<MISSING>,7405297586,<MISSING>,38.738901,-82.995198,Sun-Thu: 10:30am-10pm; Fri-Sat: 10:30am-11pm,Open
https://rapidfiredpizza.com/locations,Sandusky,4315 Milan Rd,Sandusky,OH,44870,US,<MISSING>,4195024455,<MISSING>,41.415721,-82.672738,Sun-Thu: 10:30am-10pm; Fri-Sat: 10:30am-11pm,Open
https://rapidfiredpizza.com/locations,Springfield,1200 N Bechtle Avenue,Springfield,OH,45504,US,<MISSING>,9375053478,<MISSING>,39.940897,-83.835298,Sun-Thu: 10:30am-10pm; Fri-Sat: 10:30am-11pm,Open
https://rapidfiredpizza.com/locations,Sugarcreek,6252 Wilmington Pike,Sugarcreek Township,OH,45459,US,<MISSING>,9378486100,<MISSING>,39.64664,-84.109849,Sun-Thu: 10:30am-10pm; Fri-Sat: 10:30am-11pm,Open
https://rapidfiredpizza.com/locations,Symmes Twp,12096 Montgomery Rd,Cincinnati,OH,45249,US,<MISSING>,5139182787,<MISSING>,39.288888,-84.300123,Sun-Thu: 11am-9pm; Fri-Sat: 11am-10pm,Open
https://rapidfiredpizza.com/locations,Troy,2311 West Main,Troy,OH,45373,US,<MISSING>,9379809190,<MISSING>,40.0589499,-84.2466751,Sun-Thu: 10:30am-10pm; Fri-Sat: 10:30am-11pm,Open
https://rapidfiredpizza.com/locations,Westerville,782 S State St,Westerville,OH,43081,US,<MISSING>,6143948697,<MISSING>,40.10687,-82.924191,Sun-Thu: 10:30am-10pm; Fri-Sat: 10:30am-11pm,Open
https://rapidfiredpizza.com/locations,Xenia,40 Progress Dr,Xenia,OH,45385,US,<MISSING>,9377088801,<MISSING>,39.6889521,-83.9659737,Sun-Thu: 10:30am-10pm; Fri-Sat: 10:30am-11pm,Open
https://rapidfiredpizza.com/locations,Greenville,4100 Pelham Rd,Greenville,SC,29615,US,<MISSING>,8644128741,<MISSING>,34.8592963,-82.265806,Sun-Thu: 10:30am-10pm; Fri-Sat: 10:30am-11pm,Open
https://rapidfiredpizza.com/locations,Spartanburg,1707-F John B White Sr Blvd,Spartanburg,SC,29301,US,<MISSING>,8642168186,<MISSING>,34.9225135,-81.9830285,Sun-Thu: 10:30am-10pm; Fri-Sat: 10:30am-11pm,Open
https://rapidfiredpizza.com/locations,Universal City,121 Pat Booker Road,Universal City,TX,78148,US,<MISSING>,7264440943,<MISSING>,29.5444974,-98.2909111,Sun-Thu: 10:30am-10pm; Fri-Sat: 10:30am-11pm,Open
https://rapidfiredpizza.com/locations,Wichita Falls,4730 Taft Blvd,Wichita Falls,TX,76308,US,<MISSING>,9403869190,<MISSING>,33.8579037,-98.5211253,Sun-Thu: 10:30am-10pm; Fri-Sat: 10:30am-11pm,Open
